ID,QC_LEVEL,INFO_SOURCE,CONTACT,ORGANISATION,ORGANISATION_ID,NO_REVISION,PERSON_REVISION,TIME_EVENT,TIME_CREATION,TIME_LAST_REVISION,TIME_ACCURACY,COUNTRY,STATE,PLACE,PLACE_LOCAL_LANGUAGE,DETAILED_LOCATION,LATITUDE,LONGITUDE,PLACE_ACCURACY,SURFACE_INITIAL_LOCATION,SURFACE_CROSSED,TYPE_EVENT,PRECIPITATION_AMOUNT,MAX_6_HOUR_PRECIP,MAX_12_HOUR_PRECIP,MAX_24_HOUR_PRECIP,CONVECTIVE,TOTAL_DURATION,EXCEPT_ELEC_PHENOM,NO_INJURED,NO_KILLED,EVENT_DESCRIPTION,EXT_URL,REFERENCE,IMPACTS,CREATOR_ID,REVISOR_ID,LINK_ORG,LINK_ID,DELETED
26894,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-25 15:00:00,2021-11-28 13:14:34,2021-11-28 00:00:00,1H,IT,Lazio,Cerveteri,Via di Ceri,,41.969,12.136,,LAND,LAND,PRECIP,55.0,,,,CONV,1.3,,,,Segnalati diversi disagi localizzati su molteplici località dell''Etruria con allagamenti in in Via di Ceri e Via Caerevetus e picchi di accumulo durante il passaggio dei temporali. Le stazioni meteorologiche hanno registrato accumuli parziali sopra i 55 mm a Ladispoli (RM) pochi km vicino all''area coinvolta.,https://www.facebook.com/MeteoLazio1/posts/2420521481415360 ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26894.0,N
11277,QC1,"NWSP,DMGPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,1,ESSL,2021-11-23 10:15:00,2021-11-24 11:20:48,2021-11-24 11:20:48,30M,ES,Catalunya,L'Ametlla de Mar,,,40.9,0.8,3KM,,LAND,PRECIP,,,,,,,0.0,,,,https://www.ccma.cat/324/riuades-i-carreteres-tallades-a-les-terres-de-lebre-primers-efectes-de-la-dana/noticia/3131331/,"""""Les Terres de l'Ebre i comarques de Tarragona, les més perjudicades per la DANA"""", CCMA.cat, 23 NOV 2021; SAT;",T1V1,Thilo,Thilo,ESSL,11277.0,N
11278,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,1,ESSL,2021-11-23 07:00:00,2021-11-24 11:22:55,2021-11-24 11:22:55,30M,ES,Catalunya,La Sènia,,,40.633,0.283,5KM,,LAND,PRECIP,,,,,,,0.0,,,,https://www.ccma.cat/324/riuades-i-carreteres-tallades-a-les-terres-de-lebre-primers-efectes-de-la-dana/noticia/3131331/,"""""Les Terres de l'Ebre i comarques de Tarragona, les més perjudicades per la DANA"""", CCMA.cat, 23 NOV 2021; SAT;",T1,Thilo,Thilo,ESSL,11278.0,N
11268,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,1,ESSL,2021-11-23 03:00:00,2021-11-23 20:05:49,2021-11-23 20:05:49,30M,ES,Catalunya,Tortosa,,,40.8,0.517,3KM,,LAND,PRECIP,,,,,,,0.0,,,,https://www.20minutos.es/noticia/4902299/0/el-temporal-que-hace-tiritar-a-espana-causa-inundaciones-accidentes-de-trafico-y-caida-de-arboles/,"""""El temporal que hace tiritar a España causa inundaciones, accidentes de tráfico y caída de árboles"""", 20minutos.es, 23 NOV 2021; SAT;",T1V1,Thilo,Thilo,ESSL,11268.0,N
26850,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-18 04:30:00,2021-11-18 20:46:26,2021-11-18 00:00:00,15M,IT,Puglia,Otranto,,,40.143,18.48,,LAND,LAND,PRECIP,106.0,,,,CONV,6.5,,,,,https://www.facebook.com/photo/?fbid=1177400512785253&amp;set=gm.570957247340571 https://www.facebook.com/photo/?fbid=10226586929610299&amp;set=gm.570941684008794 https://www.corrieresalentino.it/2021/11/violento-acquazzone-nella-zona-di-otranto-campi-e-strade-allagate-i-vigili-del-fuoco-salvano-automobilisti-e-animali/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26850.0,N
26851,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-18 04:30:00,2021-11-18 20:57:16,2021-11-18 00:00:00,15M,IT,Puglia,Uggiano La Chiesa,,,40.09,18.457,,LAND,LAND,PRECIP,123.0,,,,CONV,6.0,,,,,https://www.facebook.com/protezionecivilesalento/posts/2635845156723706 https://www.facebook.com/giuseppe.devitis.9/videos/3119147641742703 https://www.facebook.com/protezionecivilesalento/posts/2635857570055798 https://www.facebook.com/stefano.conte.750/videos/214329800796940/ https://www.facebook.com/groups/supermeteo.direttameteosalento/permalink/570963464006616/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26851.0,N
26853,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-18 04:30:00,2021-11-18 21:07:53,2021-11-18 00:00:00,5M,IT,Puglia,Spongano,,,40.037,18.37,,LAND,LAND,PRECIP,,,,,CONV,,,,,,https://www.facebook.com/protezionecivilesalento/posts/2636195683355320 https://www.facebook.com/SUPERMETEO.CentroMeteoSalento/posts/6803166246367890 https://www.facebook.com/protezionecivilesalento/posts/2636172963357592 ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26853.0,N
26824,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-15 15:00:00,2021-11-15 20:34:21,2021-11-15 00:00:00,30M,IT,Basilicata,Castronuovo di Sant''Andrea,,,40.19,16.184,,LAND,LAND,PRECIP,,,,,CONV,,,,,,https://www.facebook.com/1633711003585118/posts/3107656466190557/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26824.0,N
49146,QC1,"WWW,GOV",Nicolas Baluteau (Voluntary Observer Person),,,1,ESSL,2021-11-15 06:15:00,2021-11-15 08:15:35,2021-11-15 08:15:35,15M,FR,Corse,Cagnano,,,42.878,9.454,5KM,,LAND,PRECIP,171.0,,,,,24.0,0.0,,,Source : Météofrance,https://www.facebook.com/photo?fbid=2956147377983249&set=pcb.2956147587983228,"Guillaume Wosnica (on Facebook), 15 Nov 2021.",,VOP_Baluteau,VOP_Baluteau,ESSL,49146.0,N
26812,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-14 06:55:00,2021-11-14 20:27:33,2021-11-14 00:00:00,5M,IT,Puglia,Castro,,,40.004,18.424,,LAND,LAND,PRECIP,98.0,,,,CONV,2.0,,,,,https://www.facebook.com/100005996114655/videos/614373479694534 https://gazzettadelsud.it/articoli/cronaca/2021/11/14/violenta-ondata-di-maltempo-nel-salento-allagamenti-e-smottamenti-in-diversi-comuni-86c60621-9957-4a7e-826f-c483eb52ff67/ https://www.facebook.com/groups/supermeteo.direttameteosalento/posts/568805977555698/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26812.0,N
26820,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-14 06:55:00,2021-11-14 20:32:57,2021-11-14 00:00:00,5M,IT,Puglia,Spongano,,,40.022,18.362,,LAND,LAND,PRECIP,86.0,,,,CONV,2.0,,,,,https://www.facebook.com/protezionecivilesalento/posts/2633305690310986 https://www.facebook.com/groups/supermeteo.direttameteosalento/permalink/568753397560956/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26820.0,N
26813,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-14 05:30:00,2021-11-14 20:28:11,2021-11-14 00:00:00,15M,IT,Puglia,Ortelle,Vignacastrisi,,40.017,18.408,,LAND,LAND,PRECIP,127.0,,,,CONV,4.0,,,,,https://www.facebook.com/groups/1361443993901665/permalink/5046364665409561/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26813.0,N
5208,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,1,ESSL,2021-11-13 21:15:00,2021-11-23 15:09:44,2021-11-23 15:09:44,30M,HR,Splitsko-Dalmatinska,Hvar,,,43.172,16.443,3KM,,LAND,PRECIP,,,,,,,0.0,,,,https://www.jutarnji.hr/vijesti/hrvatska/potopljeni-ulice-i-trgovi-u-hvaru-udar-munje-uzrokovao-pozar-odavno-ne-pamtim-ovakvu-oluju-strasno-15120217,"""""Potopljeni ulice i trgovi u Hvaru, udar munje uzrokovao požar: ‘Odavno ne pamtim ovakvu oluju, strašno!‘ """", JUTARNJI LIST, 14 NOV 2021; SAT;",T1H7H8,Thilo,Thilo,ESSL,5208.0,N
26796,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-13 05:00:00,2021-11-13 20:06:02,2021-11-13 00:00:00,15M,IT,Liguria,Genova,,,44.432,8.924,,LAND,LAND,PRECIP,83.0,,,,CONV,9.0,,,,,https://www.facebook.com/meteopolcevera/photos/a.851932934914477/4503872183053849/ https://www.facebook.com/watch/?ref=saved&amp;v=269083031822710 https://www.facebook.com/centrometeoligure/photos/a.423060861170082/2223263501149800/ https://telenord.it/diluvio-su-genova-e-disagi-teglia-allagata-frana-a-sant-eusebio-38336?fbclid=IwAR3SrnrR3Z82xQfuQLEULfYclo4HRH7IlnNkKKqH2V26XRoaGRkfBYrVOuk ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26796.0,N
11247,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,1,ESSL,2021-11-11 02:30:00,2021-11-11 17:28:33,2021-11-11 17:28:33,30M,ES,Illes Balears - Menorca,Port d'Addaia,,,40.008,4.196,3KM,,LAND,PRECIP,,,,,,,0.0,,,,https://www.menorca.info/menorca/local/2021/11/11/757175/mas-consecuencias-lluvias-inundaciones-addaia-824-clientes-afectados-por-cortes-luz-mao.html,"""""Más consecuencias de las lluvias: inundaciones en Addaia y 824 clientes afectados por cortes de luz en Maó"""", MENORCA.info, 11 NOV 2021; SAT;",H8,Thilo,Thilo,ESSL,11247.0,N
26772,QC1,"WWW,EYEWTN,DMGEYEWTN,DMGPHOTO,SPTR",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,2,ESSL,2021-11-08 20:30:00,2021-11-09 17:25:47,2021-11-09 20:35:54,5M,IT,Campania,Nola,,,40.928,14.538,3KM,,LAND,PRECIP,46.0,,,,,8.5,0.0,,,,https://www.facebook.com/mc24.it/posts/1080712189341127 ,,T2V1,VON_PRETEMP,Thilo,ESSL,26772.0,N
26769,QC1,"WWW,EYEWTN,DMGEYEWTN,DMGPHOTO,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,2,ESSL,2021-11-08 19:30:00,2021-11-09 17:17:16,2021-11-09 20:36:38,5M,IT,Campania,Sorrento,,,40.632,14.392,3KM,,LAND,PRECIP,63.0,,,,,8.8,0.0,,,,https://www.facebook.com/watch/?ref=saved&amp;v=309347631029893 https://www.facebook.com/photo.php?fbid=3055485741362534&amp;set=p.3055485741362534&amp;type=3 https://www.facebook.com/watch/?ref=saved&amp;v=440219274392013 https://www.facebook.com/ReteMeteoAmatori/posts/4523951841052216 ,,T1T2,VON_PRETEMP,Thilo,ESSL,26769.0,N
26770,QC1,"WWW,EYEWTN,DMGEYEWTN,DMGPHOTO,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,2,ESSL,2021-11-08 18:45:00,2021-11-09 17:20:16,2021-11-09 20:37:12,5M,IT,Sardegna,Arzachena,,,41.067,9.387,3KM,,LAND,PRECIP,94.0,,,,,8.5,0.0,,,,https://www.facebook.com/luca.slam92photo/videos/1536026310096309/ https://www.olbianova.it/maltempo-si-apre-la-strada-pick-up-ingoiato-dal-cratere/?fbclid=IwAR0moFUzywP_bOhEKUz0fMEf5qKFp2KowBRAgx-6tXFTCLJI042UfE5Zjew https://www.facebook.com/vivaipiante.pratoverde/videos/618516322682465/ ,,H7H8,VON_PRETEMP,Thilo,ESSL,26770.0,N
26771,QC1,"WWW,EYEWTN,DMGEYEWTN,DMGPHOTO,SPTR",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,2,ESSL,2021-11-08 18:45:00,2021-11-09 17:23:08,2021-11-09 20:37:49,5M,IT,Campania,Cava de'' Tirreni,,,40.686,14.696,3KM,,LAND,PRECIP,43.0,,,,,10.8,0.0,,,,https://www.zerottonove.it/cava-de-tirreni-frana-in-via-bonazzi-strada-chiusa/?fbclid=IwAR0ryPVa8zd0bTaPYJHJ_V45AE7csWBQa4EgyYkIuLegIe1NK14NLnTJu1k ,,T1T2,VON_PRETEMP,Thilo,ESSL,26771.0,N
26760,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,3,ESSL,2021-11-08 13:30:00,2021-11-08 15:27:01,2021-11-09 20:39:27,15M,IT,Lazio,Ponza,,,40.896,12.959,3KM,,LAND,PRECIP,21.0,,,,,1.0,0.0,,,Allagamenti localizzati nei vicoli della città.,http://stormreport.meteonetwork.it/asset/photo/11852_1636385214.8447.jpg https://www.facebook.com/MeteoLazio1/videos/421862689343653/ ,,T1H7,VON_PRETEMP,Thilo,ESSL,26760.0,N
26761,QC1,"WWW,EYEWTN,DMGEYEWTN,DMGPHOTO,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,2,ESSL,2021-11-08 12:30:00,2021-11-08 15:32:02,2021-11-09 20:40:58,15M,IT,Lazio,Sacrofano,Valle Muricana,,42.052,12.461,3KM,,LAND,PRECIP,30.0,,,,,1.0,0.0,,,Intenso temporale su Campagnano Romano e Valle Muricana - affluenti secondari in piena con criticità idrogeologiche localizzate.,https://www.facebook.com/MeteoLazio1/videos/3077609585840869/ ,,T1,VON_PRETEMP,Thilo,ESSL,26761.0,N
26759,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-08 12:00:00,2021-11-08 15:22:32,2021-11-08 00:00:00,15M,IT,Lazio,Roma,Casal Palocco,,41.75,12.355,,LAND,LAND,PRECIP,40.0,,,,CONV,1.5,,,,Canali secondari in piena a causa dei temporali con allagamenti localizzati.,https://www.facebook.com/MeteoLazio1/posts/2405651546235687 https://www.facebook.com/MeteoLazio1/posts/2405621426238699 ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26759.0,N
26757,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-06 21:20:00,2021-11-07 00:37:04,2021-11-07 00:00:00,15M,IT,Lazio,Roma,Monte Sacro,,41.949,12.532,,LAND,LAND,PRECIP,,,,,CONV,0.2,,,,Sulle zone settentrionali di Roma durante il temporale rilevati rain rate orari compresi tra gli 80-150 mm/h. Accumuli pluviometrici puntualmente oltre i 30 mm.,http://stormreport.meteonetwork.it/asset/photo/11850_1636245398.206.jpg https://www.facebook.com/MeteoLazio1/posts/2404323379701837 https://www.facebook.com/118332072154413/posts/913040992683513/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26757.0,N
26755,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,2,ESSL,2021-11-05 19:15:00,2021-11-06 16:00:03,2021-11-06 18:53:10,5M,IT,Sardegna,Olbia,Porto Rotondo,,41.025,9.545,3KM,,LAND,PRECIP,54.0,,,,,10.0,0.0,,,,https://www.facebook.com/watch/?ref=saved&amp;v=595187931761656 ,,H7H8,VON_PRETEMP,Thilo,ESSL,26755.0,N
26752,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,2,ESSL,2021-11-03 22:45:00,2021-11-05 23:33:56,2021-11-05 23:37:05,30M,IT,Lazio,Castelnuovo Parano,Via Ausonia - Valle del Liri,,41.416,13.77,5KM,,LAND,PRECIP,80.0,,,,,,0.0,,,Intense precipitazioni a carattere di nubifragio con infiltrazioni d''acqua in una scuola a Cassino e una frana sulla Via Provinciale Ausonia direzione Castelnuovo Parano (FR).,http://stormreport.meteonetwork.it/asset/photo/11843_1636155202.2023.jpg http://stormreport.meteonetwork.it/asset/photo/11843_1636155202.203.jpg https://www.tg24.info/cassinate-maltempo-primi-disagi-frana-a-castelnuovo/?utm_source=dlvr.it&amp;utm_medium=facebook%20%20%0A%0A%0Ahttps%3A%2F%2Fm.me%2FCassinoVirtual https://www.leggocassino.it/2021/11/03/cadono-due-pannelli-durante-la-lezione-paura-per-i-bimbi-aula-evacuata/?fbclid=IwAR2QEPLWfgVyw2Nh0mqinByBepBb7HBlKfUaR4wHucwTSYvw4v4TQMGhk9Y https://www.frosinonetoday.it/cronaca/frosinone-maltempo-disagi-frana-pioggia-danni.html?fbclid=IwAR0pdEjDFbCtazrAb1iZGiG27OD-uh1EQhJ8_nlkMs5zXbTGDjQgoaVztiQ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26752.0,N
26751,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,3,ESSL,2021-11-03 22:15:00,2021-11-05 23:03:07,2021-11-05 23:15:40,15M,IT,Lazio,Itri,Contrada Campiglioni,,41.289,13.537,1KM,,LAND,PRECIP,90.0,,,,,1.2,0.0,,,,https://www.meteoregionelazio.it/2021/11/04/maltempo-e-frana-a-itri-lt-prime-immagini-alle-luci-del-giorno-video-e-foto/ https://www.meteoregionelazio.it/2021/11/05/riepilogo-sui-forti-temporali-di-mercoledi-03-novembre-ecco-quanto-accaduto-in-24-ore-di-continuo-maltempo-sul-lazio/ https://www.meteonetwork.it/tt/stormreport/asset/photo/11842_1636153511.9383.jpg https://www.facebook.com/MeteoLazio1/videos/2840263339555174/,,,VON_PRETEMP,VON_PRETEMP,ESSL,26751.0,N
26750,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-03 22:00:00,2021-11-05 22:52:17,2021-11-05 00:00:00,5M,IT,Lazio,Fondi,Centro Storico e strade circostanti,,41.358,13.424,,LAND,LAND,PRECIP,100.0,,,,CONV,1.0,,,,,https://www.meteoregionelazio.it/2021/11/05/riepilogo-sui-forti-temporali-di-mercoledi-03-novembre-ecco-quanto-accaduto-in-24-ore-di-continuo-maltempo-sul-lazio/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26750.0,N
26745,QC1,"WWW,EYEWTN,DMGEYEWTN,SPTR,EVTPHOTO",MeteoNetwork Pretemp,MeteoNetwork - Pretemp,,1,,2021-11-03 21:30:00,2021-11-05 22:22:02,2021-11-05 00:00:00,15M,IT,Lazio,Roma,Quartiere XI zona Portuense,,41.852,12.454,,LAND,LAND,PRECIP,50.0,,,,CONV,1.2,,,,Sottopasso allagato,https://www.facebook.com/MeteoLazio1/posts/2401447103322798 https://www.meteoregionelazio.it/2021/11/05/riepilogo-sui-forti-temporali-di-mercoledi-03-novembre-ecco-quanto-accaduto-in-24-ore-di-continuo-maltempo-sul-lazio/ ,,,VON_PRETEMP,VON_PRETEMP,ESSL,26745.0,N
